SubscriptionID,SubscriptionName,PreTaxCost,UsageDate,ServiceName
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),108.14808469702,20250221,Log Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),696.155448,20250221,MS Bing Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.000141354,20250221,Service Bus,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),57753.5709695864,20250221,Storage,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),3693.984,20250221,VPN Gateway,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),25069.0583282874,20250221,Virtual Machines,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),1249.5588,20250221,Virtual Network,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),810.4176,20250222,Azure App Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250222,Azure Bot Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),11.3995161290323,20250222,Azure DNS,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),2496.46389677419,20250222,Azure Database for MySQL,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),19.9237048860417,20250222,Azure Databricks,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),377.895277443482,20250222,Azure Kubernetes Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250222,Azure Monitor,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),59.6564516129032,20250222,Azure Synapse Analytics,INR
